Feature	Importance
WR.gap1	4.000000
KK.gap2	4.000000
IQ.gap2	4.000000
AE-feat	4.000000
NL	4.000000
GK.gap2	4.000000
NF	4.000000
IN	4.000000
MY	4.000000
YA.gap1	4.000000
EV.gap1	4.000000
AA.gap2	4.000000
AE	4.000000
EA.gap1	4.000000
E-feat	4.000000
QA.gap5	4.000000
SW.gap2	4.000000
IA.gap5	4.000000
alphaticr.postivecharger.negativecharger	4.000000
GR	4.000000
IE.gap3	4.000000
GS.gap3	4.000000
AT.gap5	4.000000
AV.gap5	4.000000
SR	4.000000
ER.gap3	4.000000
EE.gap3	4.000000
HM	4.000000
GK-feat	4.000000
LS.gap1	4.000000
GD-feat	4.000000
AT.gap3	4.000000
EE.gap5	4.000000
NE.gap1	4.000000
NM.gap1	4.000000
VP.gap2	4.000000
GL.gap5	4.000000
FI	4.000000
LD.gap1	4.000000
VE.gap2	4.000000
VH.gap2	4.000000
Autocorr_w4	4.000000
NV.gap1	4.000000
AN.gap2	4.000000
Autocorr_w6	4.000000
GR.gap1	4.000000
VK.gap1	4.000000
RP	4.000000
LD.gap4	3.000000
YV	3.000000
LK.gap4	3.000000
QW-feat	3.000000
KS.gap4	3.000000
DS	3.000000
YG.gap5	3.000000
AM	3.000000
AR	3.000000
AV	3.000000
KP.gap4	3.000000
DE	3.000000
DH	3.000000
DL	3.000000
TL.gap5	3.000000
KL.gap4	3.000000
EP	3.000000
FK	3.000000
alphaticr.aromatic.gap0	3.000000
aromatic.aromatic.gap0	3.000000
VA.gap5	3.000000
IK-feat	3.000000
ST.gap5	3.000000
L_I	3.000000
LT-feat	3.000000
DN-feat	3.000000
ID.gap5	3.000000
IH.gap4	3.000000
TG.gap4	3.000000
TM.gap4	3.000000
TT.gap4	3.000000
GE.gap5	3.000000
LI	3.000000
FD-feat	3.000000
VA.gap4	3.000000
K_Y	3.000000
VI	3.000000
EG.gap5	3.000000
LE-feat	3.000000
GT-feat	3.000000
KS.gap5	3.000000
PK	3.000000
PG	3.000000
NA.gap5	3.000000
RD.gap5	3.000000
RA.gap5	3.000000
LQ	3.000000
PG.gap4	3.000000
PP.gap4	3.000000
F-feat	3.000000
NL-feat	3.000000
MH	3.000000
ML	3.000000
II-feat	3.000000
S-feat	3.000000
RA.gap4	3.000000
Y-feat	3.000000
NS	3.000000
AK-feat	3.000000
GT.gap5	3.000000
HA	3.000000
TG.gap1	3.000000
AL.gap4	3.000000
FN.gap2	3.000000
VI.gap1	3.000000
negativecharger.alphaticr.gap4	3.000000
postivecharger.alphaticr.gap4	3.000000
PG.gap3	3.000000
GG.gap2	3.000000
aromatic.negativecharger.gap4	3.000000
YG.gap2	3.000000
QE.gap3	3.000000
TT.gap1	3.000000
QL.gap3	3.000000
negativecharger.aromatic.gap3	3.000000
GI.gap2	3.000000
postivecharger.aromatic.gap3	3.000000
DV.gap3	3.000000
aromatic.alphaticr.gap3	3.000000
SV.gap1	3.000000
uncharger.negativecharger.gap4	3.000000
uncharger.aromatic.postivecharger	3.000000
FD.gap2	3.000000
IV.gap3	3.000000
DH.gap3	3.000000
uncharger.postivecharger.gap5	3.000000
FV.gap1	3.000000
IL.gap3	3.000000
negativecharger.uncharger.uncharger	3.000000
postivecharger.uncharger.gap5	3.000000
AL.gap3	3.000000
EI.gap2	3.000000
KS.gap3	3.000000
aromatic.uncharger.gap5	3.000000
GG.gap1	3.000000
aromatic.postivecharger.gap5	3.000000
alphaticr.negativecharger.gap5	3.000000
uncharger.alphaticr.uncharger	3.000000
FA.gap2	3.000000
alphaticr.aromatic.gap5	3.000000
IK.gap2	3.000000
DV.gap1	3.000000
alphaticr.negativecharger.negativecharger	3.000000
NA.gap2	3.000000
LG.gap2	3.000000
SR.gap2	3.000000
QG.gap1	3.000000
VE-feat	3.000000
SN.gap2	3.000000
polarizability.G2	3.000000
QA.gap1	3.000000
alphaticr.postivecharger.postivecharger	3.000000
MG.gap2	3.000000
EP.gap4	3.000000
alphaticr.uncharger.negativecharger	3.000000
TN-feat	3.000000
GT.gap4	3.000000
PG.gap1	3.000000
hydrophobicity_PONP930101.G1	3.000000
solventaccess.G1	3.000000
LF.gap2	3.000000
RE.gap1	3.000000
