nameseq,A_AAA,A_AAC,A_AAG,A_AAT,A_ACA,A_ACC,A_ACG,A_ACT,A_AGA,A_AGC,A_AGG,A_AGT,A_ATA,A_ATC,A_ATG,A_ATT,A_CAA,A_CAC,A_CAG,A_CAT,A_CCA,A_CCC,A_CCG,A_CCT,A_CGA,A_CGC,A_CGG,A_CGT,A_CTA,A_CTC,A_CTG,A_CTT,A_GAA,A_GAC,A_GAG,A_GAT,A_GCA,A_GCC,A_GCG,A_GCT,A_GGA,A_GGC,A_GGG,A_GGT,A_GTA,A_GTC,A_GTG,A_GTT,A_TAA,A_TAC,A_TAG,A_TAT,A_TCA,A_TCC,A_TCG,A_TCT,A_TGA,A_TGC,A_TGG,A_TGT,A_TTA,A_TTC,A_TTG,A_TTT,C_AAA,C_AAC,C_AAG,C_AAT,C_ACA,C_ACC,C_ACG,C_ACT,C_AGA,C_AGC,C_AGG,C_AGT,C_ATA,C_ATC,C_ATG,C_ATT,C_CAA,C_CAC,C_CAG,C_CAT,C_CCA,C_CCC,C_CCG,C_CCT,C_CGA,C_CGC,C_CGG,C_CGT,C_CTA,C_CTC,C_CTG,C_CTT,C_GAA,C_GAC,C_GAG,C_GAT,C_GCA,C_GCC,C_GCG,C_GCT,C_GGA,C_GGC,C_GGG,C_GGT,C_GTA,C_GTC,C_GTG,C_GTT,C_TAA,C_TAC,C_TAG,C_TAT,C_TCA,C_TCC,C_TCG,C_TCT,C_TGA,C_TGC,C_TGG,C_TGT,C_TTA,C_TTC,C_TTG,C_TTT,G_AAA,G_AAC,G_AAG,G_AAT,G_ACA,G_ACC,G_ACG,G_ACT,G_AGA,G_AGC,G_AGG,G_AGT,G_ATA,G_ATC,G_ATG,G_ATT,G_CAA,G_CAC,G_CAG,G_CAT,G_CCA,G_CCC,G_CCG,G_CCT,G_CGA,G_CGC,G_CGG,G_CGT,G_CTA,G_CTC,G_CTG,G_CTT,G_GAA,G_GAC,G_GAG,G_GAT,G_GCA,G_GCC,G_GCG,G_GCT,G_GGA,G_GGC,G_GGG,G_GGT,G_GTA,G_GTC,G_GTG,G_GTT,G_TAA,G_TAC,G_TAG,G_TAT,G_TCA,G_TCC,G_TCG,G_TCT,G_TGA,G_TGC,G_TGG,G_TGT,G_TTA,G_TTC,G_TTG,G_TTT,T_AAA,T_AAC,T_AAG,T_AAT,T_ACA,T_ACC,T_ACG,T_ACT,T_AGA,T_AGC,T_AGG,T_AGT,T_ATA,T_ATC,T_ATG,T_ATT,T_CAA,T_CAC,T_CAG,T_CAT,T_CCA,T_CCC,T_CCG,T_CCT,T_CGA,T_CGC,T_CGG,T_CGT,T_CTA,T_CTC,T_CTG,T_CTT,T_GAA,T_GAC,T_GAG,T_GAT,T_GCA,T_GCC,T_GCG,T_GCT,T_GGA,T_GGC,T_GGG,T_GGT,T_GTA,T_GTC,T_GTG,T_GTT,T_TAA,T_TAC,T_TAG,T_TAT,T_TCA,T_TCC,T_TCG,T_TCT,T_TGA,T_TGC,T_TGG,T_TGT,T_TTA,T_TTC,T_TTG,T_TTT,label
pre_10_train_U00096.3/3428757-3427223,3,4,8,5,8,7,6,8,6,4,7,4,1,3,7,2,5,4,8,4,3,3,4,9,3,9,12,6,3,8,10,7,12,6,7,4,6,6,13,3,5,11,11,8,4,11,10,7,3,9,3,1,5,8,9,2,7,7,12,3,2,2,2,4,3,5,7,2,3,5,7,5,4,10,5,5,0,2,7,0,10,7,5,5,3,2,5,4,3,6,7,6,2,2,5,6,5,5,5,8,11,10,5,4,13,9,11,9,5,4,8,3,7,5,5,1,5,3,8,2,8,7,13,5,6,5,6,2,9,16,11,10,3,6,6,4,10,11,16,11,6,4,8,6,2,4,8,4,6,6,7,8,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,5,0,8,4,1,3,8,8,11,9,7,3,11,3,7,5,11,5,5,8,9,4,9,3,2,5,6,5,6,3,7,5,5,4,7,6,6,5,3,1,10,4,2,1,5,2,5,7,10,5,4,3,6,11,10,2,12,4,7,5,6,4,2,1,1,1,2,1,4,1,7,5,3,3,1,1,7,1,rRNA
pre_11_train_U00096.3/2731152-2729618,3,3,8,6,7,7,6,7,6,3,7,4,1,3,7,2,5,4,8,4,3,3,4,8,3,9,12,5,3,8,10,8,12,6,7,4,7,6,13,4,5,11,11,8,4,11,10,7,3,9,3,1,5,8,9,2,7,6,12,4,2,2,2,4,3,5,7,2,3,5,7,5,4,10,5,5,0,2,7,0,10,7,5,5,3,2,5,4,3,6,6,6,2,1,5,6,5,5,5,8,11,10,5,5,13,9,11,9,5,4,8,2,7,5,5,1,5,3,8,2,8,7,13,5,6,6,6,2,7,14,13,10,3,6,6,4,10,14,16,11,6,4,8,6,2,4,8,4,6,5,7,9,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,5,0,8,4,1,3,8,10,11,8,7,3,11,3,7,5,11,5,5,8,8,4,9,3,2,5,6,5,7,3,7,5,5,4,7,6,6,5,3,1,11,4,2,1,5,3,5,7,10,5,4,3,6,11,10,2,12,4,7,5,6,4,2,1,1,1,2,1,4,1,7,5,3,3,1,1,7,0,rRNA
pre_12_train_U00096.3/223776-225310,3,5,9,4,7,7,6,8,7,3,7,4,1,3,7,2,4,4,7,4,3,3,3,7,3,9,12,5,5,8,11,9,13,6,6,4,6,6,13,4,5,10,11,8,4,11,10,6,3,9,4,1,5,8,9,2,7,7,13,3,2,2,2,4,3,5,6,2,4,5,6,5,5,10,5,6,0,2,7,0,10,7,6,5,2,2,5,5,3,6,5,6,2,1,4,6,5,5,5,8,11,10,5,3,13,9,11,9,5,4,8,2,7,5,6,1,5,3,8,3,7,7,13,4,6,7,6,2,8,15,11,10,3,5,6,6,11,12,17,10,6,4,7,7,2,4,8,4,6,5,7,9,8,8,8,8,3,7,10,6,15,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,6,0,8,4,1,3,7,9,11,8,7,3,11,2,7,5,11,5,5,8,9,4,7,3,2,5,6,5,6,3,7,5,5,4,8,6,6,5,3,0,11,4,2,1,5,3,5,7,10,6,4,3,6,11,10,3,12,5,8,5,6,3,2,1,1,1,1,1,3,2,8,5,3,3,1,0,7,2,rRNA
pre_13_train_U00096.3/3428757-3427226,3,4,8,5,8,7,6,8,6,4,7,4,1,3,7,2,5,4,8,4,3,3,4,9,3,9,12,6,3,7,10,7,12,6,7,4,6,6,13,3,5,11,11,8,4,11,10,7,3,9,3,1,5,8,9,2,7,7,12,3,2,2,2,4,3,5,7,2,3,5,7,5,4,10,5,5,0,2,7,0,10,7,5,5,3,2,5,3,3,6,7,6,2,2,5,6,5,5,5,8,11,10,5,4,13,9,11,9,5,4,8,3,7,5,5,1,5,2,8,2,8,7,13,5,6,5,6,2,9,16,11,10,3,6,6,4,10,11,16,11,6,4,8,6,2,4,8,4,6,6,7,8,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,5,0,8,4,1,3,8,8,11,9,7,3,11,3,7,5,11,5,5,8,9,4,9,3,2,5,6,5,6,3,7,5,5,4,7,6,6,5,3,1,10,4,2,1,5,2,5,7,10,5,4,3,6,11,10,2,12,4,7,5,6,4,2,1,1,1,2,1,4,1,7,5,3,3,1,1,7,1,rRNA
pre_14_train_U00096.3/4166664-4168195,3,4,9,5,7,7,6,8,6,3,7,4,1,3,7,2,4,4,7,4,3,3,4,8,3,9,12,6,5,7,10,7,13,6,7,4,6,6,13,4,5,10,11,8,4,11,11,7,3,9,4,1,5,8,9,2,7,7,12,3,2,2,2,4,3,5,6,2,3,5,7,5,4,10,5,6,0,2,7,0,10,7,5,5,2,2,5,4,3,6,6,6,2,1,4,6,5,5,5,8,11,10,5,3,13,9,11,9,5,4,8,2,7,5,6,1,5,2,8,3,8,7,13,4,6,6,7,2,8,15,12,10,3,6,6,4,11,12,17,11,6,4,8,6,2,4,8,4,6,5,7,9,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,6,0,8,4,1,3,8,8,10,8,7,3,10,3,7,5,11,5,5,8,9,4,9,3,2,5,6,5,6,3,7,5,5,4,7,6,6,5,3,0,11,4,2,1,5,4,5,7,10,5,4,3,6,11,10,3,12,4,8,5,5,3,2,1,1,1,2,1,3,1,7,6,3,3,1,1,6,1,rRNA
pre_15_train_U00096.3/4035536-4037067,3,4,9,5,7,7,6,8,6,3,7,4,1,3,7,2,4,4,7,4,3,3,4,8,3,9,12,6,5,7,10,7,13,6,7,4,6,6,13,4,5,10,11,8,4,11,11,7,3,9,4,1,5,8,9,2,7,7,12,3,2,2,2,4,3,5,6,2,3,5,7,5,4,10,5,6,0,2,7,0,10,7,5,5,2,2,5,4,3,6,6,6,2,1,4,6,5,5,5,8,11,10,5,3,13,9,11,9,5,4,8,2,7,5,6,1,5,2,8,3,8,7,13,4,6,6,7,2,8,15,12,10,3,6,6,4,11,12,17,11,6,4,8,6,2,4,8,4,6,5,7,8,8,8,8,8,3,7,10,6,16,5,12,7,8,7,6,6,15,8,15,12,10,3,8,7,15,6,6,0,8,4,1,3,8,8,10,8,7,3,10,3,7,5,11,5,5,8,9,4,9,3,2,5,6,5,6,3,7,5,5,4,7,6,6,6,3,0,11,4,2,1,5,4,5,7,10,5,4,3,6,11,10,3,12,4,8,5,5,3,2,1,1,1,2,1,3,1,7,6,3,3,1,1,6,1,rRNA
pre_16_train_U00096.3/2731152-2729621,3,3,8,6,7,7,6,7,6,3,7,4,1,3,7,2,5,4,8,4,3,3,4,8,3,9,12,5,3,7,10,8,12,6,7,4,7,6,13,4,5,11,11,8,4,11,10,7,3,9,3,1,5,8,9,2,7,6,12,4,2,2,2,4,3,5,7,2,3,5,7,5,4,10,5,5,0,2,7,0,10,7,5,5,3,2,5,3,3,6,6,6,2,1,5,6,5,5,5,8,11,10,5,5,13,9,11,9,5,4,8,2,7,5,5,1,5,2,8,2,8,7,13,5,6,6,6,2,7,14,13,10,3,6,6,4,10,14,16,11,6,4,8,6,2,4,8,4,6,5,7,9,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,5,0,8,4,1,3,8,10,11,8,7,3,11,3,7,5,11,5,5,8,8,4,9,3,2,5,6,5,7,3,7,5,5,4,7,6,6,5,3,1,11,4,2,1,5,3,5,7,10,5,4,3,6,11,10,2,12,4,7,5,6,4,2,1,1,1,2,1,4,1,7,5,3,3,1,1,7,0,rRNA
pre_17_train_U00096.3/4210042-4212945,10,10,15,7,14,16,9,7,10,15,16,10,6,10,11,7,11,12,14,9,9,15,23,11,19,6,16,17,9,7,16,7,15,11,11,8,17,14,22,17,13,22,21,21,13,8,16,21,8,8,7,5,9,11,8,4,15,12,18,11,6,8,6,1,16,13,21,14,3,8,8,5,9,10,16,7,7,6,12,3,7,3,9,4,7,6,11,9,16,8,13,5,6,3,12,5,27,13,13,7,7,11,19,7,16,8,21,27,13,10,22,7,12,6,6,5,6,7,8,5,20,11,9,8,6,1,11,6,23,21,25,9,8,18,16,12,15,22,29,10,11,7,12,1,6,9,16,12,9,13,12,7,18,8,19,13,6,7,21,8,34,14,25,14,11,8,14,14,23,18,23,13,19,9,22,16,26,7,14,10,8,9,8,8,27,14,21,20,15,7,12,6,17,14,19,12,7,7,10,15,7,15,16,14,10,11,14,4,7,6,5,4,9,11,10,7,11,3,14,5,8,7,17,4,13,11,12,9,6,6,8,11,7,14,16,13,5,7,12,6,14,5,9,3,4,10,5,4,11,6,8,11,5,6,6,6,rRNA
pre_18_train_U00096.3/225758-228661,10,10,15,7,14,16,9,7,10,15,16,10,6,10,11,7,11,11,13,10,9,15,23,11,20,6,16,17,9,8,16,7,15,11,12,8,16,14,23,17,12,22,21,21,14,7,16,21,8,8,7,5,9,11,8,4,15,12,18,12,6,7,7,1,16,13,20,14,3,8,8,6,9,10,16,7,7,6,12,3,7,3,9,5,7,6,11,9,16,6,12,6,6,2,12,4,27,13,13,6,7,10,18,7,16,8,21,27,13,10,23,7,12,6,6,5,6,7,7,5,20,11,10,9,6,1,11,6,23,21,25,9,8,18,15,14,15,22,30,10,11,7,12,0,6,9,16,11,9,12,12,7,18,8,19,13,6,7,21,9,35,15,24,14,10,9,14,13,24,17,23,13,20,9,21,16,26,7,14,11,8,8,9,8,27,14,20,19,15,7,12,6,17,15,21,11,7,7,10,15,7,15,15,14,10,11,14,4,7,6,5,3,9,11,10,6,10,3,14,5,8,8,17,5,13,11,12,9,6,6,7,12,7,14,16,13,5,7,13,6,14,6,9,3,4,10,5,4,12,6,8,11,5,6,6,6,rRNA
pre_19_train_U00096.3/4037518-4040422,10,10,15,7,14,16,9,8,10,15,16,10,6,10,11,7,11,12,14,9,9,15,24,11,19,5,16,17,9,7,16,7,15,11,11,8,17,14,22,16,12,23,21,21,13,7,17,21,8,8,7,6,9,11,8,4,15,12,18,11,6,8,7,1,16,13,20,14,4,8,7,6,9,9,17,7,7,6,13,3,7,3,9,4,7,6,11,9,15,6,12,6,7,2,12,4,27,13,13,6,8,11,18,7,16,8,21,27,13,10,23,7,12,6,6,4,6,7,7,5,20,12,10,9,6,1,10,6,23,21,25,9,8,18,16,12,15,23,29,10,11,7,11,1,6,10,16,12,9,12,12,7,19,7,19,14,6,7,21,9,35,15,24,14,10,8,13,14,23,18,23,12,19,9,23,16,26,7,14,10,8,8,9,8,27,14,20,20,14,7,12,6,17,14,21,12,7,7,10,15,7,15,15,14,10,11,13,4,7,6,5,4,9,11,10,6,11,3,14,4,8,8,17,4,13,11,12,9,6,7,6,12,7,14,16,13,5,7,13,6,14,5,9,3,4,10,5,4,12,5,8,13,5,6,7,6,rRNA
