Feature	Importance
PG-feat	0.000955
VD-feat	0.000955
negativecharger.uncharger.alphaticr	0.000949
hydrophobicity_PONP930101.G1	0.000947
postivecharger.alphaticr.postivecharger	0.000946
T_E	0.000944
uncharger.negativecharger.aromatic	0.000943
uncharger.alphaticr.uncharger	0.000940
T_A	0.000938
uncharger.negativecharger.uncharger	0.000933
g6.g1.g6	0.000933
FD-feat	0.000931
negativecharger.postivecharger.alphaticr	0.000930
I_R	0.000926
GL-feat	0.000924
alphaticr.uncharger.uncharger	0.000923
g2.g3.g6	0.000920
EP-feat	0.000919
GI-feat	0.000913
alphaticr.uncharger.alphaticr	0.000909
alphaticr.aromatic.negativecharger	0.000906
g5.g5.g3	0.000905
g5.g5.g5	0.000905
g1.g5.g4	0.000903
Crosscorr_w2	0.000901
QQ-feat	0.000899
postivecharger.uncharger.negativecharger	0.000898
TP-feat	0.000894
SE-feat	0.000893
g3.g2.g4	0.000892
alphaticr.aromatic.uncharger	0.000889
postivecharger.uncharger.alphaticr	0.000888
ID-feat	0.000885
LW-feat	0.000883
aromatic.postivecharger.uncharger	0.000877
TL-feat	0.000876
g1.g2.g4	0.000875
MV-feat	0.000873
g5.g2.g6	0.000870
secondarystruct.G2	0.000870
GD-feat	0.000868
uncharger.uncharger.negativecharger	0.000867
LR-feat	0.000865
g3.g1.g5	0.000865
LH-feat	0.000864
FP-feat	0.000862
g6.g6.g2	0.000855
VF-feat	0.000852
WW-feat	0.000852
g5.g3.g4	0.000849
aromatic.negativecharger.postivecharger	0.000847
Crosscorr_w6	0.000847
VP-feat	0.000845
g6.g6.g1	0.000844
L_E	0.000838
AT-feat	0.000838
PQ-feat	0.000837
uncharger.negativecharger.negativecharger	0.000836
g1.g3.g6	0.000835
HG-feat	0.000834
K_K	0.000830
AH-feat	0.000828
alphaticr.negativecharger.uncharger	0.000827
g4.g2.g6	0.000827
NG-feat	0.000824
CV-feat	0.000816
g1.g5.g5	0.000813
g5.g6.g6	0.000808
g2.g6.g5	0.000806
SN-feat	0.000801
IV-feat	0.000797
L_Y	0.000796
g4.g1.g3	0.000795
aromatic.negativecharger.negativecharger	0.000794
g2.g3.g1	0.000794
Crosscorr_w4	0.000792
LI-feat	0.000789
g2.g2.g6	0.000788
uncharger.postivecharger.alphaticr	0.000788
HA-feat	0.000787
IG-feat	0.000787
