nameseq,k-tsallis12.3,k-tsallis22.3,k-tsallis32.3,k-tsallis42.3,k-tsallis52.3,label
pre_0_train_U00096.3/228758-228873,0.6232249301606867,0.7397873076066745,0.7619111441280284,0.7659568942010268,0.7669971819044441,rRNA
pre_1_train_U00096.3/4040519-4040634,0.6264387467269528,0.7418195483796514,0.7623719921493745,0.7663376329316524,0.7672148969070954,rRNA
pre_2_train_U00096.3/3423540-3423425,0.6282841321920248,0.7418098152771443,0.762076971432042,0.766156194376008,0.7670842679055047,rRNA
pre_3_train_U00096.3/3941808-3943349,0.6370664667314543,0.7463149700260575,0.7651509038766603,0.7684085832296409,0.7690130456545087,rRNA
pre_4_train_U00096.3/3428762-3427221,0.6370242531991521,0.746258827367717,0.7651285001767963,0.7684097604558104,0.7690148198425142,rRNA
pre_5_train_U00096.3/2731157-2729616,0.6369148545969862,0.7462436429149054,0.7651089569728768,0.7683997493384501,0.7690114644671494,rRNA
pre_6_train_U00096.3/4035531-4037072,0.6371368402948877,0.7463351985622098,0.7651413149189554,0.7684047374436238,0.7690127034801983,rRNA
pre_7_train_U00096.3/4166659-4168200,0.637025990745104,0.7462877965880099,0.765129668078877,0.7684012769690928,0.7690115721301429,rRNA
pre_8_train_U00096.3/223771-225312,0.6371821567083689,0.7463060225864117,0.7651414893794717,0.7684039925524853,0.7690120095650598,rRNA
pre_9_train_U00096.3/4035536-4037070,0.6369545597149288,0.7462873900564794,0.7651304573481772,0.768403448003654,0.7690121482709916,rRNA
pre_10_train_U00096.3/3428757-3427223,0.6368345735136465,0.7462104825733143,0.7651175180263912,0.7684083011230748,0.7690142869551513,rRNA
pre_11_train_U00096.3/2731152-2729618,0.6367206826694326,0.7461941889838865,0.7650980540831459,0.7683984073220337,0.7690108961897382,rRNA
pre_12_train_U00096.3/223776-225310,0.6369995904703145,0.7462578376523784,0.7651308566492272,0.7684026581470695,0.7690113407017887,rRNA
pre_13_train_U00096.3/3428757-3427226,0.6367245376691153,0.7461772609537451,0.7651112901635818,0.7684058827783024,0.7690137651743495,rRNA
pre_14_train_U00096.3/4166664-4168195,0.636728803828986,0.7462064131817757,0.7651125031777357,0.7683973298868012,0.7690104683681632,rRNA
pre_15_train_U00096.3/4035536-4037067,0.6368437576620711,0.7462549158048015,0.7651243258453342,0.7684008426369946,0.7690116168201919,rRNA
pre_16_train_U00096.3/2731152-2729621,0.6366094787344153,0.7461608878695234,0.7650914836199236,0.7683957791790045,0.7690103590776896,rRNA
pre_17_train_U00096.3/4210042-4212945,0.6367378471542271,0.7460195891262679,0.7650116270852119,0.7684146190341944,0.769050702825857,rRNA
pre_18_train_U00096.3/225758-228661,0.6367663023261031,0.7459989709078915,0.7649969820556022,0.768408988428776,0.7690497026045671,rRNA
pre_19_train_U00096.3/4037518-4040422,0.6367867062664899,0.7460009113360403,0.7649955106366144,0.7684070088413077,0.769048451067669,rRNA
pre_20_train_U00096.3/3943703-3946606,0.6367704339486435,0.7460493901192534,0.7650186372174448,0.7684158065246469,0.7690507436476992,rRNA
