Feature	Importance
aromatic.alphaticr.negativecharger	5.000000
uncharger.uncharger.postivecharger	5.000000
KA-feat	5.000000
g6.g4.g3	5.000000
F_L	5.000000
uncharger.uncharger.alphaticr	5.000000
AF-feat	5.000000
g7.g5.g5	5.000000
g5.g4.g2	5.000000
S_Q	5.000000
S_L	5.000000
LN-feat	5.000000
postivecharger.uncharger.alphaticr	5.000000
postivecharger.uncharger.aromatic	5.000000
FP-feat	5.000000
g2.g6.g5	5.000000
postivecharger.uncharger.postivecharger	5.000000
IR-feat	5.000000
g2.g5.g5	5.000000
LS-feat	5.000000
GE-feat	5.000000
negativecharger.alphaticr.negativecharger	5.000000
GG-feat	5.000000
QA-feat	5.000000
EA-feat	5.000000
EE-feat	5.000000
alphaticr.alphaticr.uncharger	5.000000
uncharger.postivecharger.uncharger	5.000000
PG-feat	5.000000
g3.g6.g2	5.000000
NK-feat	5.000000
MS-feat	5.000000
g2.g3.g4	5.000000
KQ-feat	5.000000
g1.g1.g4	5.000000
g5.g2.g2	5.000000
uncharger.alphaticr.negativecharger	5.000000
g3.g5.g2	5.000000
EF-feat	5.000000
g1.g1.g1	5.000000
DL-feat	5.000000
alphaticr.postivecharger.negativecharger	5.000000
DI-feat	5.000000
DG-feat	5.000000
DE-feat	5.000000
uncharger.negativecharger.postivecharger	5.000000
g4.g2.g6	5.000000
uncharger.negativecharger.uncharger	5.000000
g3.g3.g6	5.000000
hydrophobicity_ARGP820101.G2	5.000000
uncharger.postivecharger.negativecharger	5.000000
g5.g5.g3	4.000000
uncharger.negativecharger.negativecharger	4.000000
SP-feat	4.000000
N_N	4.000000
V_K	4.000000
g1.g1.g6	4.000000
negativecharger.alphaticr.postivecharger	4.000000
KI-feat	4.000000
hydrophobicity_CASG920101.G1	4.000000
GN-feat	4.000000
negativecharger.postivecharger.aromatic	4.000000
LE-feat	4.000000
SF-feat	4.000000
RN-feat	4.000000
g1.g5.g3	4.000000
GS-feat	4.000000
solventaccess.G1	4.000000
negativecharger.negativecharger.aromatic	4.000000
g1.g4.g4	4.000000
VM-feat	4.000000
postivecharger.negativecharger.negativecharger	4.000000
g4.g6.g1	4.000000
K_F	4.000000
TP-feat	4.000000
Y_C	4.000000
Autocorr_w2	4.000000
EK-feat	4.000000
AT-feat	4.000000
PR-feat	4.000000
alphaticr.negativecharger.aromatic	4.000000
g5.g2.g6	4.000000
T_E	4.000000
g6.g1.g1	4.000000
AY-feat	4.000000
postivecharger.negativecharger.aromatic	4.000000
R_I	4.000000
DR-feat	4.000000
I_D	4.000000
I_Q	4.000000
DK-feat	4.000000
YP-feat	4.000000
QT-feat	4.000000
NV-feat	4.000000
AI-feat	4.000000
Autocorr_w5	4.000000
aromatic.postivecharger.negativecharger	4.000000
postivecharger.alphaticr.alphaticr	4.000000
postivecharger.negativecharger.alphaticr	4.000000
postivecharger.postivecharger.alphaticr	4.000000
VW-feat	4.000000
g2.g5.g4	4.000000
RD-feat	4.000000
g2.g6.g2	4.000000
TI-feat	4.000000
ES-feat	4.000000
postivecharger.alphaticr.aromatic	4.000000
VN-feat	4.000000
TM-feat	4.000000
ET-feat	4.000000
g5.g3.g3	4.000000
aromatic.uncharger.negativecharger	4.000000
g4.g2.g2	4.000000
RM-feat	3.000000
KF-feat	3.000000
WQ-feat	3.000000
QQ-feat	3.000000
IT-feat	3.000000
K_A	3.000000
g6.g6.g1	3.000000
YA-feat	3.000000
uncharger.uncharger.aromatic	3.000000
VF-feat	3.000000
VV-feat	3.000000
SG-feat	3.000000
K_L	3.000000
QG-feat	3.000000
uncharger.aromatic.negativecharger	3.000000
QR-feat	3.000000
QW-feat	3.000000
TG-feat	3.000000
postivecharger.postivecharger.aromatic	3.000000
LR-feat	3.000000
RE-feat	3.000000
LY-feat	3.000000
negativecharger.aromatic.negativecharger	3.000000
aromatic.postivecharger.uncharger	3.000000
ML-feat	3.000000
H_R	3.000000
negativecharger.postivecharger.uncharger	3.000000
aromatic.aromatic.alphaticr	3.000000
aromatic.alphaticr.aromatic	3.000000
alphaticr.negativecharger.uncharger	3.000000
I_K	3.000000
negativecharger.negativecharger.uncharger	3.000000
negativecharger.uncharger.negativecharger	3.000000
alphaticr.negativecharger.postivecharger	3.000000
alphaticr.aromatic.uncharger	3.000000
uncharger.aromatic.alphaticr	3.000000
alphaticr.aromatic.negativecharger	3.000000
uncharger.aromatic.aromatic	3.000000
G_R	3.000000
alphaticr.alphaticr.aromatic	3.000000
RL-feat	3.000000
NI-feat	3.000000
YT-feat	3.000000
aromatic.alphaticr.uncharger	3.000000
RS-feat	3.000000
IM-feat	3.000000
g3.g3.g2	3.000000
g2.g2.g6	3.000000
g2.g2.g5	3.000000
g6.g2.g4	3.000000
GF-feat	3.000000
GI-feat	3.000000
GL-feat	3.000000
F_K	3.000000
g2.g4.g5	3.000000
Autocorr_w3	3.000000
GQ-feat	3.000000
g1.g6.g5	3.000000
g1.g6.g4	3.000000
g1.g6.g2	3.000000
Autocorr_w6	3.000000
g4.g2.g1	3.000000
FS-feat	3.000000
g5.g1.g4	3.000000
g3.g5.g3	3.000000
ER-feat	3.000000
g3.g1.g7	3.000000
g3.g1.g6	3.000000
g3.g1.g5	3.000000
D_V	3.000000
g6.g1.g6	3.000000
DY-feat	3.000000
g6.g1.g3	3.000000
EV-feat	3.000000
FG-feat	3.000000
DQ-feat	3.000000
DP-feat	3.000000
FK-feat	3.000000
DM-feat	3.000000
g1.g5.g4	3.000000
g4.g4.g3	3.000000
g1.g1.g5	3.000000
G_A	3.000000
k5	3.000000
g1.g2.g2	3.000000
HI-feat	3.000000
g5.g6.g2	3.000000
secondarystruct.G3	3.000000
g1.g2.g5	3.000000
HG-feat	3.000000
HV-feat	3.000000
IG-feat	3.000000
W_A	3.000000
k2	3.000000
EI-feat	2.000000
alphaticr.negativecharger.alphaticr	2.000000
NR-feat	2.000000
MQ-feat	2.000000
g5.g6.g1	2.000000
g4.g1.g4	2.000000
NM-feat	2.000000
alphaticr.uncharger.negativecharger	2.000000
g3.g3.g3	2.000000
YY-feat	2.000000
alphaticr.uncharger.alphaticr	2.000000
SL-feat	2.000000
g5.g6.g5	2.000000
D_K	2.000000
NH-feat	2.000000
RP-feat	2.000000
g3.g3.g5	2.000000
DT-feat	2.000000
L_G	2.000000
g3.g6.g4	2.000000
YQ-feat	2.000000
g3.g6.g3	2.000000
NE-feat	2.000000
SI-feat	2.000000
L_E	2.000000
MT-feat	2.000000
SD-feat	2.000000
g5.g6.g4	2.000000
SS-feat	2.000000
K_P	2.000000
g4.g1.g6	2.000000
DD-feat	2.000000
T_F	2.000000
QD-feat	2.000000
K_E	2.000000
TR-feat	2.000000
g4.g5.g4	2.000000
TS-feat	2.000000
AC-feat	2.000000
S_K	2.000000
T_A	2.000000
VQ-feat	2.000000
A_S	2.000000
S_R	2.000000
QN-feat	2.000000
K_R	2.000000
g5.g1.g6	2.000000
TN-feat	2.000000
T_K	2.000000
K_V	2.000000
YE-feat	2.000000
VD-feat	2.000000
g4.g2.g3	2.000000
YK-feat	2.000000
ST-feat	2.000000
NT-feat	2.000000
g6.g1.g2	2.000000
g4.g3.g1	2.000000
RA-feat	2.000000
R_C	2.000000
g4.g3.g4	2.000000
I_R	2.000000
SY-feat	2.000000
PL-feat	2.000000
WN-feat	2.000000
aromatic.alphaticr.alphaticr	2.000000
g3.g4.g2	2.000000
aromatic.alphaticr.postivecharger	2.000000
g1.g5.g2	2.000000
KY-feat	2.000000
negativecharger.uncharger.alphaticr	2.000000
g1.g6.g3	2.000000
N_L	2.000000
GM-feat	2.000000
g2.g1.g3	2.000000
g6.g3.g1	2.000000
GH-feat	2.000000
LK-feat	2.000000
g6.g2.g5	2.000000
postivecharger.uncharger.uncharger	2.000000
N_K	2.000000
postivecharger.negativecharger.uncharger	2.000000
g6.g2.g3	2.000000
postivecharger.negativecharger.postivecharger	2.000000
uncharger.alphaticr.alphaticr	2.000000
g1.g5.g1	2.000000
g2.g4.g3	2.000000
g6.g3.g3	2.000000
IS-feat	2.000000
polarity.G1	2.000000
IH-feat	2.000000
ID-feat	2.000000
solventaccess.G3	2.000000
g1.g1.g3	2.000000
P_R	2.000000
g1.g3.g1	2.000000
g1.g3.g3	2.000000
KK-feat	2.000000
g1.g3.g6	2.000000
uncharger.postivecharger.postivecharger	2.000000
g1.g4.g2	2.000000
KP-feat	2.000000
HA-feat	2.000000
g2.g3.g6	2.000000
GT-feat	2.000000
I_S	2.000000
g2.g6.g1	2.000000
E_E	2.000000
Q_G	2.000000
g7.g1.g1	2.000000
MH-feat	2.000000
FI-feat	2.000000
g2.g6.g4	2.000000
LW-feat	2.000000
FL-feat	2.000000
FR-feat	2.000000
postivecharger.aromatic.uncharger	2.000000
g3.g2.g5	2.000000
g3.g2.g4	2.000000
QV-feat	1.000000
MG-feat	1.000000
T_P	1.000000
W_D	1.000000
T_N	1.000000
W_G	1.000000
P_S	1.000000
Q_L	1.000000
MV-feat	1.000000
MF-feat	1.000000
T_G	1.000000
S_V	1.000000
L_Q	1.000000
HC-feat	1.000000
N_T	1.000000
EH-feat	1.000000
N_V	1.000000
V_R	1.000000
RH-feat	1.000000
V_Y	1.000000
IW-feat	1.000000
MP-feat	1.000000
L_L	1.000000
P_D	1.000000
V_D	1.000000
EM-feat	1.000000
P_K	1.000000
N_Y	1.000000
HT-feat	1.000000
MN-feat	1.000000
KH-feat	1.000000
HQ-feat	1.000000
V_A	1.000000
V_N	1.000000
MK-feat	1.000000
T_R	1.000000
L_I	1.000000
QS-feat	1.000000
N_H	1.000000
GY-feat	1.000000
M_L	1.000000
LF-feat	1.000000
PS-feat	1.000000
GP-feat	1.000000
NF-feat	1.000000
PQ-feat	1.000000
R_P	1.000000
PN-feat	1.000000
DS-feat	1.000000
R_G	1.000000
LD-feat	1.000000
NG-feat	1.000000
N_G	1.000000
PF-feat	1.000000
M_Q	1.000000
CS-feat	1.000000
FN-feat	1.000000
Q_E	1.000000
NN-feat	1.000000
R_V	1.000000
EQ-feat	1.000000
Y_A	1.000000
Y_L	1.000000
Q_M	1.000000
FT-feat	1.000000
N_F	1.000000
QM-feat	1.000000
NC-feat	1.000000
S_M	1.000000
FE-feat	1.000000
Y_K	1.000000
KR-feat	1.000000
QE-feat	1.000000
QL-feat	1.000000
N_S	1.000000
S_I	1.000000
S_D	1.000000
S_A	1.000000
L_Y	1.000000
FF-feat	1.000000
QF-feat	1.000000
P_V	1.000000
V_E	1.000000
g1.g4.g3	1.000000
g6.g4.g4	1.000000
uncharger.uncharger.negativecharger	1.000000
G_L	1.000000
G_K	1.000000
g6.g5.g5	1.000000
g4.g3.g3	1.000000
g6.g4.g6	1.000000
g6.g4.g5	1.000000
g6.g4.g2	1.000000
I_A	1.000000
g6.g4.g1	1.000000
g4.g2.g4	1.000000
polarizability.G3	1.000000
secondarystruct.G1	1.000000
g6.g3.g5	1.000000
g1.g1.g2	1.000000
g4.g1.g2	1.000000
uncharger.negativecharger.alphaticr	1.000000
uncharger.aromatic.postivecharger	1.000000
g4.g4.g1	1.000000
negativecharger.uncharger.uncharger	1.000000
alphaticr.uncharger.aromatic	1.000000
g4.g6.g4	1.000000
H_I	1.000000
H_F	1.000000
postivecharger.aromatic.alphaticr	1.000000
postivecharger.aromatic.postivecharger	1.000000
postivecharger.aromatic.negativecharger	1.000000
postivecharger.postivecharger.postivecharger	1.000000
postivecharger.postivecharger.negativecharger	1.000000
C_L	1.000000
negativecharger.aromatic.postivecharger	1.000000
negativecharger.postivecharger.postivecharger	1.000000
negativecharger.negativecharger.postivecharger	1.000000
negativecharger.negativecharger.negativecharger	1.000000
negativecharger.uncharger.postivecharger	1.000000
g6.g3.g4	1.000000
g1.g2.g3	1.000000
g1.g2.g4	1.000000
g2.g3.g1	1.000000
E_T	1.000000
g2.g4.g2	1.000000
E_S	1.000000
g2.g5.g1	1.000000
g6.g2.g1	1.000000
g3.g4.g3	1.000000
D_Y	1.000000
E_M	1.000000
E_L	1.000000
g2.g7.g1	1.000000
g3.g3.g4	1.000000
g2.g7.g3	1.000000
E_A	1.000000
g3.g2.g6	1.000000
g6.g1.g4	1.000000
g3.g5.g1	1.000000
g3.g5.g4	1.000000
g1.g3.g5	1.000000
g3.g5.g6	1.000000
g1.g4.g1	1.000000
D_I	1.000000
g1.g4.g5	1.000000
D_L	1.000000
g3.g7.g1	1.000000
g1.g5.g5	1.000000
D_N	1.000000
g6.g3.g2	1.000000
F_I	1.000000
g3.g6.g5	1.000000
F_F	1.000000
F_E	1.000000
g2.g1.g1	1.000000
F_D	1.000000
F_A	1.000000
A_T	1.000000
H_A	1.000000
alphaticr.aromatic.postivecharger	1.000000
VY-feat	1.000000
K_G	1.000000
g5.g4.g3	1.000000
g5.g4.g1	1.000000
g5.g3.g5	1.000000
A_K	1.000000
WL-feat	1.000000
g5.g3.g2	1.000000
I_V	1.000000
A_L	1.000000
V_F	1.000000
I_N	1.000000
I_M	1.000000
g5.g2.g1	1.000000
YF-feat	1.000000
YI-feat	1.000000
A_G	1.000000
VS-feat	1.000000
YR-feat	1.000000
VR-feat	1.000000
L_D	1.000000
SN-feat	1.000000
L_A	1.000000
SV-feat	1.000000
K_Y	1.000000
TC-feat	1.000000
TF-feat	1.000000
TH-feat	1.000000
A_D	1.000000
TK-feat	1.000000
K_S	1.000000
TY-feat	1.000000
g5.g4.g6	1.000000
VH-feat	1.000000
VI-feat	1.000000
YN-feat	1.000000
E_D	1.000000
g5.g1.g3	1.000000
I_H	1.000000
g5.g1.g1	1.000000
YV-feat	1.000000
alphaticr.aromatic.aromatic	1.000000
YS-feat	1.000000
g7.g2.g6	1.000000
C_R	0.000000
T_Q	0.000000
T_T	0.000000
A_F	0.000000
C_E	0.000000
C_F	0.000000
Q_N	0.000000
R_W	0.000000
C_G	0.000000
S_N	0.000000
D_M	0.000000
A_E	0.000000
C_H	0.000000
A_H	0.000000
C_I	0.000000
S_P	0.000000
A_R	0.000000
Q_P	0.000000
D_H	0.000000
A_I	0.000000
D_P	0.000000
R_Y	0.000000
T_M	0.000000
A_C	0.000000
Crosscorr_w7	0.000000
V_C	0.000000
E_C	0.000000
A_W	0.000000
Crosscorr_w6	0.000000
A_Y	0.000000
C_A	0.000000
S_H	0.000000
S_G	0.000000
D_W	0.000000
D_T	0.000000
D_Q	0.000000
T_Y	0.000000
S_F	0.000000
D_S	0.000000
S_E	0.000000
C_C	0.000000
S_C	0.000000
D_R	0.000000
T_W	0.000000
T_V	0.000000
C_D	0.000000
