nameseq,Integer_Fourier_1,Integer_Fourier_2,Integer_Fourier_3,Integer_Fourier_4,Integer_Fourier_5,Integer_Fourier_6,Integer_Fourier_7,Integer_Fourier_8,Integer_Fourier_9,Integer_Fourier_10,Integer_Fourier_11,Integer_Fourier_12,Integer_Fourier_13,Integer_Fourier_14,Integer_Fourier_15,Integer_Fourier_16,Integer_Fourier_17,Integer_Fourier_18,Integer_Fourier_19,label
pre_0_U00096.3/3982510-3982582,8140.0,1947.3929938418596,409600.0,38.11328237359699,0.0029893529893529,0.4503465053540604,47364.503333192464,47692.28927428649,537.355842790516,869.5395519121487,1947.3929938418596,3692.3173443332935,409561.8867176264,2274554456.2222223,2822.777792421145,1411.3888962105725,5.818735053217748,0.3922308841240463,0.2482605258527462,Predicted
pre_1_U00096.3/225500-225572,6471.999999999995,1415.5736394511289,327184.0,12.572331551827556,0.0037597857437165,0.5267550841251841,37849.06144146773,38110.995787888365,190.6095701688304,406.9832268902936,1415.5736394511289,3052.216585053974,327171.4276684482,1452447999.9444444,2645.2333581636804,1322.6166790818402,5.848124450164981,0.4007834938022272,0.2762494490803635,Predicted
pre_2_U00096.3/225381-225454,6953.000000000003,1964.849240970248,346921.0,9.0,0.0035476293206769,0.5011769288272702,39844.343513226566,40116.32171163295,251.6725794420792,344.072363059181,1964.849240970248,3242.310522506596,346912.0,1609319267.671233,2898.2381594474145,1449.1190797237073,5.730525458539702,0.3755728155521429,0.2522159700319901,Predicted
pre_3_U00096.3/262871-262943,7251.999999999998,1921.507709747608,345744.0,32.325255334718655,0.003355396212539,0.4556114636990619,39951.294096687285,40227.77693957249,460.36731606622186,958.7246356245676,1921.507709747608,3814.017013877726,345711.6747446653,1618274037.5,2855.2923782531584,1427.6461891265792,5.509003598550372,0.400274314820835,0.3338365154209987,Predicted
pre_4_U00096.3/3982375-3982448,6070.999999999997,1333.2976051134774,316969.0,0.1392440837384561,0.004063031900291,0.5457601969101585,36422.51869379712,36671.13945504703,315.98931724971607,593.3088998035489,1333.2976051134774,2625.8708654127586,316968.8607559163,1344772468.9315069,2032.5619656092097,1016.2809828046048,5.999426567912557,0.39022856448091,0.2274444604681364,Predicted
pre_5_U00096.3/2947387-2947460,5680.999999999998,1673.7390893302331,288369.0,12.126676322388436,0.0043419585753681,0.5460333761988172,33114.41136423838,33340.45092594288,309.32093935326355,562.4774454794867,1673.7390893302331,2736.9023060248724,288356.87332367763,1111585667.9452057,2174.424860545386,1087.212430272693,5.828975772617214,0.3630377903981743,0.3007400561865883,Predicted
pre_6_U00096.3/297178-297251,7489.999999999998,1614.2940196736,338724.0,77.37615401344524,0.0032932799287939,0.4445606043339158,38871.1150599002,39136.44998355202,568.8562695561387,879.655639657024,1614.2940196736,4805.816565496947,338646.62384598656,1531661717.3150685,3926.160925839923,1963.0804629199613,5.189734987970655,0.4534760043239277,0.2700294247090086,Predicted
pre_7_U00096.3/696740-696667,6950.000000000002,1806.753701412757,329476.0,74.91403930418828,0.0035491606714628,0.4733699168312143,37820.68714341399,38078.85182740088,537.907993678207,600.6722178527418,1806.753701412757,4111.475003362991,329401.0859606958,1449998956.4931507,3510.802785510249,1755.4013927551246,5.441825488261005,0.4079708768181023,0.2888925359320335,Predicted
pre_8_U00096.3/925971-925887,7111.0,1839.8447851062049,408321.0,89.44291906849487,0.0039844372568321,0.558998772284417,43818.058948337726,44078.1090589681,265.70576964543125,867.1552148937959,1839.8447851062049,3695.537202794479,408231.5570809315,1942879698.2142856,2828.381987900683,1414.1909939503414,6.162010821029071,0.3608892320704061,0.318653638307321,Predicted
pre_9_U00096.3/2785837-2785765,6810.999999999996,1481.501271987924,330625.0,17.275287911892534,0.0035726520824157,0.4958918580475298,38231.94415668657,38496.528242095344,373.66667819044335,547.0537226858969,1481.501271987924,3577.352681583273,330607.7247120881,1481982686.6944444,3030.298958897376,1515.149479448688,5.613264448199471,0.4181973095197647,0.243616125702784,Predicted
